"date","city","property_type","benchmark_price","source","created_at"
"2005-08-01","Victoria","Town House","296300","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-08-01","Winnipeg","All","127700","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-08-01","Winnipeg","Apartment","109500","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-08-01","Winnipeg","House","129500","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-08-01","Winnipeg","Town House","117400","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-09-01","Calgary","All","229200","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-09-01","Calgary","Apartment","142800","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-09-01","Calgary","House","252900","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-09-01","Calgary","Town House","171200","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-09-01","Edmonton","All","178800","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-09-01","Edmonton","Apartment","111100","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-09-01","Edmonton","House","205700","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-09-01","Edmonton","Town House","119500","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-09-01","Ottawa","All","219800","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-09-01","Ottawa","Apartment","200100","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-09-01","Ottawa","House","224500","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-09-01","Ottawa","Town House","168400","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-09-01","Toronto","All","330500","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-09-01","Toronto","Apartment","207800","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-09-01","Toronto","House","379000","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-09-01","Toronto","Town House","219300","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-09-01","Vancouver","All","386000","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-09-01","Vancouver","Apartment","246900","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-09-01","Vancouver","House","575900","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-09-01","Vancouver","Town House","312100","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-09-01","Victoria","All","343500","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-09-01","Victoria","Apartment","201800","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-09-01","Victoria","House","424000","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-09-01","Victoria","Town House","299700","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-09-01","Winnipeg","All","128000","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-09-01","Winnipeg","Apartment","110000","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-09-01","Winnipeg","House","129800","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-09-01","Winnipeg","Town House","117100","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-10-01","Calgary","All","232200","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-10-01","Calgary","Apartment","143600","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-10-01","Calgary","House","256600","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-10-01","Calgary","Town House","173600","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-10-01","Edmonton","All","180300","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-10-01","Edmonton","Apartment","111900","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-10-01","Edmonton","House","207500","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-10-01","Edmonton","Town House","120400","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-10-01","Ottawa","All","218300","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-10-01","Ottawa","Apartment","188600","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-10-01","Ottawa","House","223600","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-10-01","Ottawa","Town House","167500","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-10-01","Toronto","All","332000","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-10-01","Toronto","Apartment","206200","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-10-01","Toronto","House","381300","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-10-01","Toronto","Town House","220700","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-10-01","Vancouver","All","387600","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-10-01","Vancouver","Apartment","246500","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-10-01","Vancouver","House","579700","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-10-01","Vancouver","Town House","313800","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
