"date","city","metric","value","source","created_at"
"2010-12-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-12-01","Canada","unemployment_rate","7.8","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-01-01","Canada","mortgage_rate","5.19","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-01-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-01-01","Canada","unemployment_rate","7.8","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-02-01","Canada","mortgage_rate","5.44","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-02-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-02-01","Canada","unemployment_rate","7.8","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-03-01","Canada","mortgage_rate","5.34","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-03-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-03-01","Canada","unemployment_rate","7.8","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-04-01","Canada","mortgage_rate","5.69","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-04-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-04-01","Canada","unemployment_rate","7.8","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-05-01","Canada","mortgage_rate","5.59","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-05-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-05-01","Canada","unemployment_rate","7.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-06-01","Canada","mortgage_rate","5.39","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-06-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-06-01","Canada","unemployment_rate","7.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-07-01","Canada","mortgage_rate","5.39","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-07-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-07-01","Canada","unemployment_rate","7.4","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-08-01","Canada","mortgage_rate","5.39","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-08-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-08-01","Canada","unemployment_rate","7.4","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-09-01","Canada","mortgage_rate","5.19","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-09-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-09-01","Canada","unemployment_rate","7.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-10-01","Canada","mortgage_rate","5.29","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-10-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-10-01","Canada","unemployment_rate","7.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-11-01","Canada","mortgage_rate","5.29","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-11-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-11-01","Canada","unemployment_rate","7.6","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2011-12-01","Canada","mortgage_rate","5.29","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2011-12-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2011-12-01","Canada","unemployment_rate","7.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2012-01-01","Canada","mortgage_rate","5.29","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2012-01-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2012-01-01","Canada","unemployment_rate","7.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2012-02-01","Canada","mortgage_rate","5.24","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2012-02-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2012-02-01","Canada","unemployment_rate","7.6","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2012-03-01","Canada","mortgage_rate","5.24","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2012-03-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2012-03-01","Canada","unemployment_rate","7.4","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2012-04-01","Canada","mortgage_rate","5.44","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2012-04-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2012-04-01","Canada","unemployment_rate","7.4","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
